fid;DN;a_quilômetros quadrados;p_quilômetros
7820;21;0.03;0.92
7821;21;0;0.17
7822;3;0;0.17
7823;21;0;0.12
7824;21;0.01;0.34
7825;21;0.03;1.1
7826;21;0.02;0.64
7827;3;0.02;0.99
7828;3;0.04;1.44
7829;21;0.03;1.61
7830;15;0.01;0.35
7831;15;0.14;3.22
7832;3;0.01;0.35
7833;15;0.03;0.8
7834;3;0;0.12
7835;21;0;0.12
7836;21;0;0.12
7837;21;0;0.12
7838;3;0;0.12
7839;3;0;0.12
7840;21;0;0.12
7841;3;0;0.12
7842;15;0.11;2.13
7843;15;0.02;0.69
7844;15;0;0.35
7845;15;0.01;0.46
7846;3;0;0.17
7847;3;0;0.34
7848;3;0;0.23
7849;3;0;0.17
7850;21;0;0.23
7851;21;0;0.12
7852;21;0;0.4
7853;21;0;0.12
7854;21;0.01;0.46
7855;3;0;0.12
7856;21;0;0.17
7857;3;0;0.12
7858;21;0.04;1.15
7859;9;0.01;0.58
7860;15;0.03;0.8
7861;24;0.01;0.46
7862;15;0.03;0.98
7863;15;0.04;1.32
7864;21;0.01;0.4
7865;3;0;0.23
7866;25;0;0.17
7867;21;0;0.23
7868;3;0;0.23
7869;3;0.06;1.45
7870;3;0.08;2.47
7871;15;0.01;0.75
7872;3;0.01;0.64
7873;21;0.01;0.46
7874;21;0.07;1.96
7875;15;0;0.29
7876;21;0;0.23
7877;21;0;0.12
7878;21;0;0.29
7879;3;0.02;0.8
7880;21;0.11;3.31
7881;21;0.06;2.01
7882;21;0.01;0.35
7883;3;1.56;26.05
7884;3;0;0.17
7885;15;0.01;0.4
7886;33;0;0.17
7887;3;0.02;0.69
7888;21;0;0.12
7889;21;0;0.12
7890;21;0;0.17
7891;15;0;0.29
7892;3;0.01;0.81
7893;21;0.01;0.4
7894;15;0;0.29
7895;3;0;0.17
7896;15;0.01;0.52
7897;3;0;0.12
7898;21;0;0.17
7899;21;0;0.12
7900;21;0;0.17
7901;21;0;0.12
7902;3;0.02;0.86
7903;3;0.04;0.97
7904;21;0.01;0.69
7905;15;0.01;0.64
7906;15;0;0.29
7907;21;0;0.23
7908;15;0.18;3.63
7909;21;1.68;34.42
7910;21;0;0.12
7911;21;0;0.17
7912;21;0;0.12
7913;21;0;0.12
7914;3;0;0.12
7915;3;0;0.12
7916;3;0.04;1.56
7917;15;0.05;1.26
7918;15;0.04;1.1
7919;25;0;0.41
7920;15;0;0.4
7921;9;0.01;0.46
7922;21;0.01;0.81
7923;3;0.01;0.52
7924;3;0;0.17
7925;3;0;0.17
7926;3;0;0.35
7927;21;0.01;0.34
7928;21;0;0.17
7929;21;0;0.17
7930;3;0;0.12
7931;3;0;0.12
7932;21;0;0.12
7933;21;0;0.12
7934;15;0;0.12
7935;3;0.03;1.32
7936;21;0.03;0.98
7937;25;0.01;0.52
7938;9;0.02;0.86
7939;21;0.27;7.82
7940;21;0.01;0.35
7941;3;0;0.17
7942;3;0;0.29
7943;15;0;0.17
7944;21;0;0.12
7945;15;0;0.12
7946;21;0;0.12
7947;21;0;0.12
7948;15;0;0.23
7949;21;0.18;4.72
7950;21;0.36;8.41
7951;21;0.05;1.72
7952;15;0.02;0.69
7953;3;0;0.35
7954;21;0;0.29
7955;12;0.02;0.8
7956;15;1.82;21.54
7957;3;0.02;0.69
7958;21;0.01;0.57
7959;21;0.01;0.46
7960;21;0.02;0.69
7961;21;0;0.35
7962;3;0;0.12
7963;3;0;0.23
7964;3;0;0.12
7965;21;0;0.12
7966;3;0;0.12
7967;15;0;0.17
7968;21;0;0.12
7969;3;0;0.12
7970;3;0;0.12
7971;15;1.42;13.81
7972;15;0.69;9.44
7973;15;0.02;0.81
7974;3;0.02;0.58
7975;15;0.02;0.75
7976;15;0.01;0.46
7977;12;0.01;0.63
7978;15;0.02;0.92
7979;3;0;0.17
7980;21;0.01;0.68
7981;21;0;0.23
7982;3;0;0.17
7983;21;0;0.17
7984;21;0;0.17
7985;21;0;0.12
7986;21;0;0.12
7987;21;0;0.23
7988;21;0;0.12
7989;21;0;0.12
7990;21;0;0.12
7991;15;0;0.17
7992;3;0;0.12
7993;21;0;0.12
7994;15;0.04;1.1
7995;12;0.01;0.75
7996;21;0.01;0.52
7997;3;0.01;0.35
7998;9;0.01;0.46
7999;9;0;0.29
8000;21;0.19;4.27
8001;21;0.01;0.46
8002;15;0;0.35
8003;21;0;0.23
8004;21;0.01;0.34
8005;3;0.01;0.58
8006;21;0.01;0.4
8007;21;0;0.4
8008;21;0;0.12
8009;21;0;0.12
8010;21;0;0.12
8011;21;0.06;2.47
8012;3;0;0.12
8013;21;0;0.12
8014;21;0;0.12
8015;15;0;0.23
8016;21;0.03;1.26
8017;15;0.72;9.22
8018;21;0.01;0.47
8019;3;0.17;3.79
8020;21;1.53;31.74
8021;3;0;0.23
8022;15;0;0.23
8023;21;0;0.12
8024;21;0;0.12
8025;21;0;0.12
8026;21;0;0.28
8027;21;0;0.23
8028;12;0;0.17
8029;21;0;0.12
8030;21;0.04;1.5
8031;15;0.01;0.69
8032;21;0.04;1.55
8033;3;0.06;1.49
8034;21;0;0.17
8035;3;0.02;0.69
8036;15;0;0.12
8037;21;0;0.34
8038;21;0;0.23
8039;21;0;0.12
8040;21;0;0.12
8041;21;0;0.12
8042;21;0;0.17
8043;21;0;0.12
8044;21;0;0.12
8045;3;0;0.12
8046;3;0;0.12
8047;21;0;0.12
8048;3;0;0.12
8049;21;0;0.23
8050;15;0;0.17
8051;15;0.62;7.72
8052;21;0.1;2.82
8053;3;0.03;0.86
8054;21;0;0.29
8055;15;0.01;0.81
8056;21;0.01;0.52
8057;15;0.09;2.42
8058;21;0;0.23
8059;21;0.01;0.4
8060;9;0.01;0.46
8061;15;0.01;0.57
8062;21;0.01;0.46
8063;21;0;0.12
8064;21;0;0.17
8065;21;0;0.12
8066;21;0;0.12
8067;3;0;0.12
8068;21;0;0.12
8069;3;0.12;2.54
8070;21;0.33;6.59
8071;21;0.02;0.86
8072;9;0.04;1.09
8073;15;0.01;0.52
8074;15;0.01;0.52
8075;21;0.01;0.46
8076;24;0.07;2.95
8077;24;0;0.4
8078;21;0;0.23
8079;3;0.02;0.63
8080;21;0;0.12
8081;3;0;0.12
8082;21;0;0.4
8083;3;0;0.12
8084;21;0;0.12
8085;21;0;0.12
8086;3;0.42;7.03
8087;3;0.12;2.3
8088;3;0.08;2.41
8089;21;0.01;0.52
8090;21;0.04;1.91
8091;15;0.03;0.86
8092;3;0;0.23
8093;21;0.01;0.69
8094;21;0;0.12
8095;21;0;0.12
8096;9;0;0.23
8097;3;0.05;1.55
8098;15;0.06;1.56
8099;15;0.01;0.58
8100;15;0.01;0.35
8101;24;0.07;2.13
8102;21;0;0.17
8103;21;0;0.23
8104;3;0;0.12
8105;21;0;0.17
8106;21;0;0.12
8107;21;0.01;0.46
8108;21;0;0.12
8109;21;0.04;1.84
8110;21;0;0.4
8111;3;1.77;29.82
8112;12;0.03;1.15
8113;21;0.02;1.2
8114;21;0.01;0.46
8115;21;0.01;0.52
8116;21;0.01;0.4
8117;21;0.05;1.15
8118;21;0.01;0.75
8119;21;0.01;0.46
8120;21;0.01;0.52
8121;3;0;0.17
8122;15;0.01;0.4
8123;21;0;0.23
8124;15;0.02;0.86
8125;21;0.02;0.8
8126;3;0;0.12
8127;15;0.01;0.34
8128;21;0;0.12
8129;21;0;0.12
8130;3;0.1;3.28
8131;21;0.05;2.02
8132;3;0;0.17
8133;21;0;0.17
8134;21;0;0.17
8135;21;0;0.17
8136;21;0;0.23
8137;21;0;0.29
8138;21;0;0.12
8139;21;0;0.12
8140;21;0;0.12
8141;15;0.02;1.09
8142;15;0.01;0.58
8143;21;0.03;1.21
8144;21;0;0.29
8145;3;0.01;0.4
8146;21;0;0.12
8147;21;0;0.12
8148;21;0;0.12
8149;3;0;0.12
8150;24;0.13;3.39
8151;21;0;0.12
8152;21;0;0.17
8153;3;0;0.12
8154;21;0.03;1.04
8155;21;0;0.29
8156;21;0.01;0.57
8157;21;0;0.29
8158;12;0;0.12
8159;21;0;0.17
8160;3;0.08;2.54
8161;3;0;0.12
8162;21;0;0.12
8163;15;0;0.29
8164;21;0;0.17
8165;21;0;0.12
8166;21;0.18;3.1
8167;3;0.02;0.93
8168;15;0.01;0.35
8169;3;0;0.17
8170;3;0;0.23
8171;21;0;0.17
8172;21;0;0.12
8173;21;0;0.12
8174;21;0;0.12
8175;15;0;0.23
8176;3;0;0.12
8177;21;0;0.12
8178;15;0.07;1.73
8179;3;0.02;1.03
8180;15;0.02;0.69
8181;21;0.01;0.46
8182;21;0.01;0.46
8183;3;0;0.17
8184;3;0;0.23
8185;21;0;0.23
8186;21;0;0.12
8187;21;0;0.12
8188;21;0;0.29
8189;21;0.07;1.62
8190;21;0.01;0.4
8191;3;0;0.17
8192;3;0;0.23
8193;21;0;0.12
8194;3;0;0.12
8195;21;0;0.28
8196;21;0;0.34
8197;15;0.14;2.99
8198;21;0.01;0.75
8199;21;0.33;9.39
8200;21;0.01;0.52
8201;21;0;0.17
8202;21;0;0.12
8203;21;0;0.34
8204;21;0;0.12
8205;21;0;0.12
8206;3;0;0.12
8207;21;0.33;9.33
8208;15;0.02;0.69
8209;15;0.2;3.56
8210;21;0.02;0.69
8211;3;0;0.29
8212;21;0.01;0.4
8213;15;0.01;0.52
8214;21;0;0.34
8215;21;0.01;0.4
8216;15;0.01;0.4
8217;12;0;0.12
8218;15;0.02;0.58
8219;33;0.01;0.63
8220;15;0.02;0.8
8221;21;0.02;0.63
8222;21;0.01;0.35
8223;15;0.04;1.1
8224;21;0;0.29
8225;12;0;0.12
8226;21;0;0.12
8227;15;0.71;10.93
8228;3;0;0.35
8229;3;0.03;0.93
8230;21;0.12;3.46
8231;21;0.01;0.52
8232;21;0.01;0.57
8233;3;0.02;0.98
8234;3;0.01;0.64
8235;21;0;0.12
8236;21;0;0.12
8237;3;0;0.12
8238;3;0;0.12
8239;21;0;0.12
8240;21;0;0.28
8241;21;0.22;4.73
8242;15;0.16;3.11
8243;21;0.04;1.21
8244;21;0.01;0.58
8245;21;0.05;1.44
8246;21;0;0.23
8247;15;0;0.35
8248;15;0;0.12
8249;21;0;0.17
8250;21;0;0.12
8251;3;0;0.12
8252;21;0;0.17
8253;21;0;0.12
8254;3;0;0.12
8255;21;0;0.12
8256;3;0;0.12
8257;21;0.02;0.76
8258;24;0.04;1.79
8259;21;0.18;5.82
8260;3;0.03;1.15
8261;3;0;0.41
8262;21;0.09;3.34
8263;3;0.01;0.58
8264;21;0.01;0.74
8265;21;0.02;0.98
8266;21;0;0.23
8267;21;0;0.34
8268;21;0;0.12
8269;21;0;0.12
8270;21;0.03;1.2
8271;21;0;0.12
8272;3;0;0.17
8273;21;0;0.12
8274;3;0.05;1.5
8275;21;0.01;0.63
8276;15;0.26;4.51
8277;21;0;0.35
8278;15;0.01;0.52
8279;3;0;0.23
8280;21;0.04;1.27
8281;3;0;0.23
8282;21;0;0.23
8283;21;0;0.12
8284;3;0;0.34
8285;15;0;0.17
8286;21;0;0.23
8287;3;0;0.12
8288;3;0;0.12
8289;21;0.74;16.23
8290;21;0.06;1.21
8291;15;0.01;0.4
8292;21;0;0.23
8293;3;0.01;0.69
8294;12;0.06;1.96
8295;3;0.02;0.86
8296;15;0.01;0.46
8297;21;0;0.17
8298;21;0;0.12
8299;21;0;0.12
8300;21;0.01;0.46
8301;3;0;0.29
8302;3;0;0.28
8303;21;0.01;0.58
8304;21;0.03;1.49
8305;3;0;0.35
8306;15;0.02;0.75
8307;21;0.01;0.63
8308;21;0;0.17
8309;21;0;0.12
8310;21;0;0.12
8311;3;0;0.12
8312;3;0;0.12
8313;21;0;0.17
8314;3;0;0.12
8315;15;0;0.12
8316;3;0.01;0.52
8317;21;0;0.23
8318;3;0.15;3.86
8319;21;0.07;2.31
8320;3;0.15;3.16
8321;33;0;0.29
8322;21;0;0.17
8323;3;0;0.12
8324;21;0;0.12
8325;15;0.22;4.43
8326;15;0.01;0.7
8327;21;0.01;0.8
8328;12;0.08;1.89
8329;21;0.03;1.78
8330;21;0.01;0.58
8331;21;0.04;1.55
8332;21;0;0.29
8333;21;0.01;0.4
8334;3;0.06;1.89
8335;21;0.01;0.46
8336;15;0.08;1.79
8337;3;0.01;0.58
8338;3;0;0.23
8339;21;0.01;0.4
8340;21;0;0.29
8341;21;0.1;3.22
8342;21;0;0.12
8343;21;0;0.12
8344;21;0;0.12
8345;12;0.02;0.75
8346;3;0;0.12
8347;3;0;0.12
8348;15;0.03;0.8
8349;21;0.04;1.31
8350;21;0.11;3.57
8351;21;0;0.35
8352;21;0.01;0.51
8353;15;0;0.35
8354;21;0;0.17
8355;21;0;0.17
8356;21;0;0.12
8357;21;0;0.12
8358;3;0;0.12
8359;3;0;0.12
8360;3;0;0.23
8361;21;0;0.12
8362;21;0;0.12
8363;3;0;0.12
8364;21;0;0.17
8365;25;0;0.17
8366;15;0;0.12
8367;3;0;0.12
8368;21;0;0.17
8369;3;0;0.12
8370;15;0.13;1.95
8371;3;0.48;7.37
8372;21;0.01;0.41
8373;15;0.02;0.75
8374;12;0.01;0.58
8375;21;0;0.23
8376;33;0.01;0.4
8377;3;0;0.17
8378;15;0;0.23
8379;21;0;0.17
8380;21;0;0.12
8381;3;0;0.12
8382;3;0;0.12
8383;3;0;0.12
8384;21;0;0.23
8385;21;0;0.12
8386;15;0.11;1.79
8387;15;0.01;0.46
8388;21;0.03;1.03
8389;21;0;0.29
8390;21;0.24;6.66
8391;21;0.01;0.52
8392;21;0;0.17
8393;21;0.01;0.34
8394;21;0;0.12
8395;21;0;0.17
8396;21;0;0.17
8397;15;0.02;0.87
8398;21;0;0.29
8399;21;0.13;3.8
8400;21;0;0.29
8401;15;0;0.29
8402;21;0;0.23
8403;21;0;0.17
8404;21;0;0.17
8405;21;0;0.12
8406;21;0;0.12
8407;21;0;0.12
8408;3;0;0.12
8409;21;0;0.23
8410;21;0.18;4.49
8411;15;0.26;5.87
8412;21;0.09;2.19
8413;15;0.35;5.52
8414;15;0.01;0.46
8415;21;0.01;0.52
8416;3;0.01;0.52
8417;25;0.01;0.4
8418;21;0.01;0.35
8419;3;0;0.17
8420;21;0;0.28
8421;21;0;0.12
8422;3;0;0.12
8423;3;0;0.12
8424;21;0;0.12
8425;3;0.01;0.46
8426;21;0;0.12
8427;21;0;0.12
8428;15;0;0.12
8429;3;0;0.12
8430;21;0.02;0.99
8431;3;0.01;0.58
8432;15;0.02;0.92
8433;15;0.04;1.27
8434;3;0.02;0.98
8435;3;0;0.29
8436;9;0.02;0.86
8437;21;0.01;0.69
8438;21;0;0.17
8439;21;0;0.17
8440;21;0.02;0.86
8441;15;0;0.12
8442;21;0.07;2.07
8443;21;0;0.12
8444;21;0;0.12
8445;21;0;0.12
8446;21;0;0.17
8447;21;0;0.12
8448;3;0.03;1.04
8449;21;0.19;4.21
8450;3;0.02;0.87
8451;21;0.01;0.69
8452;21;0.01;0.69
8453;21;0.01;0.75
8454;15;0.01;0.41
8455;21;0.04;1.5
8456;15;0.01;0.41
8457;3;0.38;4.49
8458;3;0.01;0.52
8459;15;0;0.29
8460;21;0.01;0.52
8461;15;0.03;1.09
8462;21;0;0.23
8463;3;0;0.17
8464;3;0;0.17
8465;15;0.02;0.8
8466;21;0.03;1.38
8467;21;0.01;0.7
8468;15;0.07;1.56
8469;21;0.07;2.41
8470;21;0.01;0.63
8471;21;0;0.12
8472;3;0;0.17
8473;21;0;0.12
8474;21;0;0.23
8475;21;0;0.12
8476;21;0.01;0.52
8477;15;0.02;0.81
8478;21;0.02;0.58
8479;21;0;0.23
8480;15;0;0.35
8481;3;0;0.23
8482;15;0;0.34
8483;21;0;0.17
8484;15;0.01;0.35
8485;21;0;0.35
8486;21;0;0.12
8487;21;0;0.12
8488;21;0;0.17
8489;3;0;0.12
8490;3;0;0.17
8491;21;0.01;0.46
8492;15;0.05;1.21
8493;21;0.02;1.27
8494;15;0.01;0.64
8495;21;0.01;0.46
8496;3;0.02;0.69
8497;21;0.02;1.09
8498;21;0.01;0.46
8499;21;0;0.17
8500;21;0;0.23
8501;3;0;0.17
8502;15;0.01;0.69
8503;21;0;0.12
8504;3;0;0.12
8505;21;0;0.12
8506;3;0;0.12
8507;21;0;0.12
8508;21;0;0.29
8509;21;0;0.12
8510;24;0.09;3.24
8511;21;0.18;4.21
8512;15;0.13;2.82
8513;15;0.03;1.2
8514;3;0;0.17
8515;21;0;0.12
8516;21;0;0.12
8517;12;0.01;0.46
8518;21;0;0.12
8519;21;0;0.12
8520;21;0;0.12
8521;21;0;0.12
8522;21;0;0.12
8523;15;0;0.29
8524;21;0;0.12
8525;3;0.04;1.16
8526;21;0.01;0.52
8527;21;0.05;1.44
8528;15;0.01;0.35
8529;3;0.33;5.7
8530;21;0;0.23
8531;21;0;0.29
8532;21;0;0.23
8533;21;0.02;0.81
8534;21;0;0.12
8535;3;0;0.12
8536;21;0;0.17
8537;21;0;0.12
8538;3;0.05;1.66
8539;15;0.01;0.58
8540;15;0.01;0.52
8541;12;0.03;0.93
8542;15;0;0.29
8543;15;0;0.17
8544;15;0.13;2.66
8545;15;0.02;0.75
8546;21;0;0.12
8547;3;0;0.12
8548;15;0.83;9.5
8549;15;0.38;5.74
8550;25;0.01;0.4
8551;21;0;0.34
8552;21;0;0.17
8553;3;0;0.12
8554;3;0;0.28
8555;21;0;0.12
8556;3;0;0.12
8557;21;1;26.19
8558;21;0;0.12
8559;15;0.04;1.56
8560;21;0.49;8.3
8561;3;0.05;1.73
8562;12;0.09;2.07
8563;15;0.01;0.58
8564;21;0.02;0.92
8565;3;0;0.4
8566;21;0;0.23
8567;21;0.02;0.92
8568;15;0;0.17
8569;21;0.02;0.98
8570;21;0;0.12
8571;3;0;0.17
8572;3;0;0.17
8573;21;0;0.12
8574;21;0;0.17
8575;15;0.8;12.95
8576;15;0.28;5.71
8577;15;1.1;12.21
8578;33;0.02;0.86
8579;21;0.01;0.58
8580;21;0.01;0.46
8581;21;0.09;2.64
8582;21;0.02;1.16
8583;3;0;0.29
8584;21;0.04;1.84
8585;21;0;0.17
8586;25;0;0.17
8587;15;0;0.17
8588;3;0;0.23
8589;21;0;0.12
8590;21;0;0.12
8591;15;0;0.12
8592;21;0;0.12
8593;3;24.32;270.72
8594;15;0.04;0.87
8595;15;0.02;0.64
8596;21;0.04;2.02
8597;21;0.01;0.81
8598;21;0;0.29
8599;21;0.01;0.58
8600;15;0.01;0.46
8601;21;0;0.35
8602;3;0;0.17
8603;21;0;0.17
8604;3;0;0.17
8605;21;0;0.23
8606;21;0;0.17
8607;3;0;0.12
8608;3;0;0.12
8609;21;0.02;0.92
8610;21;0;0.23
8611;3;0;0.12
8612;15;0;0.12
8613;15;0;0.29
8614;3;0.03;1.28
8615;15;0.15;2.4
8616;21;0.14;3.45
8617;21;0.02;1.21
8618;21;0.02;0.93
8619;3;0.01;0.46
8620;21;0.01;0.46
8621;15;0;0.4
8622;21;0;0.17
8623;15;0;0.23
8624;21;0.02;0.86
8625;21;0;0.12
8626;21;0;0.12
8627;21;0;0.12
8628;21;0;0.17
8629;21;0;0.17
8630;21;0;0.17
8631;9;0;0.12
8632;21;0.02;0.58
8633;24;0.06;1.97
8634;21;0.04;1.44
8635;21;0.01;0.52
8636;21;0.06;1.97
8637;21;0;0.29
8638;21;0.02;0.64
8639;3;0.01;0.58
8640;21;0;0.29
8641;21;0;0.23
8642;21;0;0.12
8643;21;0;0.12
8644;3;0;0.12
8645;21;0;0.23
8646;15;0;0.29
8647;9;0;0.17
8648;15;0.01;0.58
8649;21;0.08;2.13
8650;15;0.05;1.56
8651;3;0;0.35
8652;21;0;0.35
8653;21;0;0.23
8654;12;0.01;0.46
8655;15;0.18;4.61
8656;21;0;0.17
8657;21;0;0.17
8658;21;0;0.29
8659;21;0;0.17
8660;21;0;0.12
8661;21;0;0.17
8662;21;0;0.12
8663;21;0;0.12
8664;15;0.04;1.09
8665;21;0.03;0.86
8666;21;0.01;0.46
8667;21;0.01;0.4
8668;9;0;0.29
8669;33;0;0.23
8670;21;0;0.12
8671;3;0;0.12
8672;3;0;0.12
8673;21;0;0.17
8674;21;0;0.12
8675;21;0;0.17
8676;3;0;0.12
8677;21;0;0.12
8678;21;0;0.12
8679;21;0;0.17
8680;3;0;0.12
8681;21;0.04;1.56
8682;25;0.03;1.33
8683;21;0.04;1.62
8684;21;0.02;0.81
8685;21;0.06;1.55
8686;15;0.01;0.35
8687;21;0.01;0.46
8688;15;0.01;0.4
8689;21;0;0.17
8690;21;0.01;0.4
8691;12;0.01;0.4
8692;21;0.01;0.34
8693;21;0;0.23
8694;21;0;0.12
8695;3;0;0.12
8696;21;0;0.12
8697;21;0;0.12
8698;21;0;0.12
8699;21;0;0.17
8700;3;0;0.12
8701;3;0;0.12
8702;21;0;0.23
8703;3;0;0.12
8704;21;0;0.12
8705;21;0;0.12
8706;15;0.01;0.58
8707;3;0.25;3.45
8708;21;0.01;0.4
8709;21;0;0.23
8710;3;0.01;0.46
8711;21;0.24;6.87
8712;21;0;0.34
8713;21;0;0.12
8714;21;0;0.12
8715;21;0;0.12
8716;3;0;0.12
8717;12;0;0.12
8718;21;0;0.17
8719;21;0.07;1.84
8720;3;0.1;2.07
8721;21;0.02;0.87
8722;21;0.02;0.92
8723;15;0.01;0.4
8724;3;0.12;2.31
8725;21;0;0.17
8726;21;0;0.17
8727;21;0;0.12
8728;21;0;0.23
8729;15;0;0.17
8730;21;0;0.12
8731;3;0.03;1.56
8732;21;0;0.12
8733;21;0.03;1.15
8734;21;0.04;1.73
8735;21;0.01;0.81
8736;21;0;0.23
8737;21;0;0.17
8738;21;0;0.17
8739;21;0;0.12
8740;21;0;0.12
8741;9;0;0.34
8742;3;0;0.41
8743;21;0;0.12
8744;21;0;0.12
8745;3;0.34;5.47
8746;21;0.05;1.68
8747;21;0.06;2.83
8748;15;0.01;0.46
8749;21;0.01;0.57
8750;21;0;0.23
8751;15;0.01;0.58
8752;21;0;0.12
8753;33;0.02;0.8
8754;21;0;0.29
8755;15;0.15;2.35
8756;12;0.01;0.58
8757;21;0.02;0.76
8758;21;0.01;0.8
8759;21;0;0.23
8760;21;0;0.23
8761;21;0;0.17
8762;11;0;0.28
8763;21;0;0.17
8764;3;0;0.12
8765;3;0;0.12
8766;21;0;0.12
8767;21;0;0.12
8768;21;0.03;1.62
8769;12;0.07;2.2
8770;15;0.01;0.35
8771;21;0.02;0.75
8772;15;0;0.35
8773;21;0.07;2.37
8774;3;0.01;0.75
8775;21;0.02;0.92
8776;21;0;0.17
8777;12;0;0.29
8778;3;0;0.17
8779;3;0;0.12
8780;21;0;0.17
8781;15;0.09;1.56
8782;21;0.01;0.58
8783;21;0.01;0.63
8784;21;0.01;0.35
8785;12;0;0.35
8786;21;0.02;0.86
8787;21;0;0.12
8788;21;0;0.12
8789;21;0.02;0.86
8790;21;0;0.12
8791;3;0;0.12
8792;21;0;0.12
8793;21;0;0.12
8794;15;0;0.4
8795;21;0;0.23
8796;9;0.01;0.52
8797;15;0.01;0.4
8798;21;0;0.17
8799;21;0.01;0.4
8800;21;0.02;1.21
8801;21;0;0.12
8802;21;0;0.17
8803;21;0;0.12
8804;21;0.01;0.52
8805;21;0.01;0.63
8806;15;0;0.35
8807;21;0.08;2.95
8808;21;0.13;4.66
8809;21;0.19;4.79
8810;21;0;0.12
8811;3;0.01;0.46
8812;21;0.01;0.58
8813;21;0.01;0.52
8814;9;0.03;0.92
8815;15;0.01;0.52
8816;21;0.05;1.85
8817;21;0.03;1.03
8818;21;0;0.23
8819;15;0;0.12
8820;21;0.02;0.86
8821;15;0.02;0.75
8822;21;2.75;59.19
8823;21;0;0.29
8824;21;0.02;0.8
8825;15;0;0.29
8826;3;0.01;0.4
8827;21;0;0.17
8828;21;0;0.12
8829;21;0;0.23
8830;12;0;0.12
8831;21;0;0.12
8832;3;0;0.12
8833;21;0;0.17
8834;15;0.01;0.58
8835;21;0;0.41
8836;15;0.22;3.11
8837;21;0;0.35
8838;21;0.07;2.19
8839;21;0;0.17
8840;21;0;0.12
8841;15;0;0.12
8842;21;0.01;0.46
8843;15;0;0.23
8844;12;0;0.29
8845;21;0;0.12
8846;21;0;0.12
8847;21;0;0.12
8848;21;0;0.12
8849;21;0.01;0.64
8850;15;0.01;0.4
8851;12;0;0.23
8852;21;0;0.12
8853;21;0;0.12
8854;21;0;0.12
8855;21;0;0.12
8856;21;0.06;1.85
8857;21;0.08;2.49
8858;3;0.08;1.95
8859;15;0.12;1.83
8860;21;5.48;118.54
8861;12;0.05;1.21
8862;15;0.01;0.35
8863;25;0;0.23
8864;12;0.03;1.38
8865;21;0.01;0.57
8866;21;0;0.17
8867;12;0;0.23
8868;15;0.03;1.04
8869;21;0.01;0.75
8870;3;0;0.17
8871;21;0;0.17
8872;21;0.01;0.46
8873;21;0;0.12
8874;21;0;0.12
8875;21;0;0.23
8876;21;0;0.12
8877;21;0;0.12
8878;21;0;0.12
8879;21;0;0.12
8880;21;0.04;1.21
8881;21;0.01;0.52
8882;21;0.01;0.46
8883;15;0.02;0.69
8884;21;0.02;1.04
8885;15;0.03;0.98
8886;21;0;0.17
8887;21;0.01;0.79
8888;21;0;0.34
8889;15;0.11;2.13
8890;21;0;0.29
8891;21;0;0.12
8892;21;0;0.12
8893;21;0;0.17
8894;3;0;0.12
8895;21;0;0.12
8896;15;0;0.12
8897;15;0;0.28
8898;21;0;0.12
8899;15;0.19;2.82
8900;15;0.96;9.45
8901;21;0.01;0.4
8902;21;0.01;0.64
8903;21;0.14;3.87
8904;21;0;0.17
8905;3;0;0.17
8906;21;0;0.12
8907;3;0;0.12
8908;21;0;0.12
8909;15;0;0.17
8910;21;0;0.17
8911;15;0;0.12
8912;3;0;0.12
8913;12;0;0.12
8914;21;0.01;0.52
8915;12;0.05;1.43
8916;21;0.04;1.62
8917;25;0;0.29
8918;21;0.01;0.57
8919;33;0;0.23
8920;21;0;0.29
8921;15;0;0.17
8922;3;0;0.17
8923;15;0;0.12
8924;3;0;0.17
8925;15;0;0.23
8926;25;0;0.12
8927;21;0;0.17
8928;21;0;0.28
8929;3;0;0.12
8930;3;0;0.12
8931;21;0;0.12
8932;12;0;0.12
8933;21;0.12;3.36
8934;3;0.05;1.49
8935;21;0.04;1.37
8936;21;0.03;1.1
8937;21;0.01;0.4
8938;21;0.42;8.43
8939;25;0.01;0.46
8940;21;0;0.29
8941;3;0;0.12
8942;21;0;0.23
8943;15;0.01;0.46
8944;21;0.01;0.58
8945;21;0;0.28
8946;21;0;0.17
8947;15;0.07;1.73
8948;21;0.01;0.69
8949;15;0.04;1.33
8950;25;0.01;0.46
8951;21;0.01;0.4
8952;15;0.01;0.4
8953;21;0.01;0.4
8954;21;0.01;0.51
8955;21;0;0.12
8956;21;0;0.12
8957;21;0.01;0.46
8958;21;0;0.17
8959;21;0;0.17
8960;21;0.04;1.55
8961;21;0.08;1.9
8962;33;0;0.35
8963;15;0.01;0.52
8964;3;0.04;1.32
8965;21;0;0.17
8966;21;0;0.17
8967;21;0;0.12
8968;21;0;0.17
8969;25;0;0.12
8970;33;0.01;0.52
8971;15;0.63;6.54
8972;21;0;0.29
8973;15;0.04;1.56
8974;15;0.01;0.46
8975;21;0;0.35
8976;21;0.04;1.85
8977;21;0;0.35
8978;21;0.02;0.98
8979;21;0;0.17
8980;3;0;0.23
8981;21;0;0.12
8982;21;0;0.12
8983;3;0;0.12
8984;21;0;0.12
8985;21;0;0.12
8986;29;0;0.12
8987;21;0.01;0.52
8988;25;0.02;0.75
8989;33;0;0.4
8990;21;0;0.17
8991;3;0;0.17
8992;15;0.01;0.46
8993;21;0;0.23
8994;21;0;0.12
8995;21;0;0.12
