fid;DN;a_quilômetros quadrados;p_quilômetros
836;12;0.02;1.03
837;21;0;0.35
838;15;0.01;0.52
839;21;0.01;0.46
840;3;0;0.17
841;3;0;0.12
842;33;0.01;0.46
843;3;0;0.23
844;3;0;0.12
845;21;0;0.12
846;15;0.02;1.21
847;12;0.01;0.52
848;25;0.01;0.46
849;21;0.01;0.46
850;3;0.38;5.69
851;15;0;0.23
852;12;0;0.12
853;24;0;0.12
854;21;0;0.17
855;21;0;0.28
856;3;0;0.12
857;3;0;0.12
858;21;0.02;0.81
859;15;0.06;1.55
860;21;0.01;0.47
861;3;0.02;0.64
862;15;0.5;5.98
863;33;0;0.17
864;3;0;0.17
865;21;0;0.17
866;21;0.05;1.61
867;21;0;0.12
868;3;0;0.12
869;21;0;0.12
870;12;0;0.12
871;21;0.01;0.52
872;21;0.04;1.84
873;21;0.31;7.61
874;9;0.02;0.63
875;25;0.01;0.46
876;33;0.01;0.4
877;21;0;0.29
878;21;0;0.35
879;3;0.01;0.46
880;12;0.02;0.75
881;25;0;0.29
882;21;0;0.12
883;21;0;0.12
884;3;0;0.12
885;3;0;0.12
886;12;0;0.12
887;21;0;0.12
888;15;0.01;0.46
889;21;0.01;0.87
890;33;0.01;0.35
891;25;0;0.23
892;33;0.02;0.74
893;21;0;0.23
894;21;0.01;0.52
895;21;0.01;0.87
896;12;0;0.29
897;21;0;0.34
898;21;0;0.17
899;15;0;0.17
900;21;0;0.29
901;21;0;0.23
902;33;0;0.12
903;21;0;0.12
904;21;0;0.12
905;21;0;0.12
906;3;1.35;16.37
907;15;0.16;2.98
908;15;0.11;2.19
909;21;0.01;0.8
910;21;0;0.23
911;21;0.03;1.21
912;21;0;0.17
913;3;0.01;0.52
914;21;0;0.12
915;21;0;0.12
916;12;0;0.12
917;21;0;0.12
918;21;0;0.17
919;3;0;0.12
920;3;0;0.35
921;21;0;0.12
922;21;0;0.17
923;25;0.02;0.81
924;21;0.01;0.58
925;3;0.02;0.81
926;21;0.06;1.9
927;21;0.01;0.58
928;3;0.01;0.4
929;21;0;0.4
930;21;0.02;0.8
931;33;0;0.17
932;21;0;0.28
933;33;0;0.17
934;21;0;0.12
935;3;0;0.12
936;3;0;0.12
937;21;0;0.12
938;21;0;0.12
939;15;0.3;5.76
940;21;0.07;2.13
941;21;0.02;0.87
942;21;0.01;0.35
943;21;0.01;0.35
944;21;0.06;1.61
945;25;0;0.23
946;21;0.04;1.55
947;15;0;0.17
948;12;0.03;1.04
949;21;0;0.12
950;21;0;0.12
951;15;0;0.12
952;21;0;0.12
953;3;0;0.12
954;21;0;0.12
955;21;0;0.23
956;21;0;0.12
957;21;0.02;1.27
958;15;0;0.12
959;3;0;0.12
960;15;0.18;2.82
961;21;0.01;0.52
962;21;0.01;0.57
963;21;0.02;1.04
964;21;0.01;0.46
965;3;0.01;0.75
966;3;0;0.17
967;21;0;0.12
968;21;0;0.12
969;21;0.01;0.46
970;21;0.05;1.95
971;33;0.01;0.64
972;12;0.02;0.75
973;24;0.04;1.32
974;12;0.01;0.52
975;25;0.01;0.69
976;21;0;0.23
977;15;0.01;0.57
978;15;0.01;0.4
979;12;0;0.12
980;3;0;0.12
981;3;0;0.12
982;21;0;0.12
983;21;0;0.12
984;21;0.06;1.96
985;12;0.03;1.04
986;21;0.01;0.4
987;21;0.01;0.4
988;12;0.15;2.94
989;21;0;0.17
990;21;0;0.12
991;21;0;0.29
992;12;0;0.12
993;3;0.01;0.57
994;15;0;0.28
995;21;0.01;0.75
996;25;0;0.41
997;21;0.06;2.01
998;21;0.01;0.63
999;21;0.02;0.98
1000;15;0.02;0.64
1001;33;0.01;0.46
1002;12;0.01;0.46
1003;3;0.04;1.09
1004;21;0.05;1.44
1005;3;0.01;0.57
1006;21;0;0.23
1007;21;0;0.29
1008;15;0.01;0.4
1009;21;0;0.23
1010;21;0;0.12
1011;21;0;0.17
1012;3;0;0.12
1013;12;0;0.12
1014;21;0;0.12
1015;3;0;0.12
1016;12;0;0.12
1017;3;0;0.12
1018;21;0;0.12
1019;21;0.01;0.4
1020;21;0.01;0.57
1021;21;0.03;1.2
1022;3;0;0.17
1023;21;0;0.12
1024;21;0;0.12
1025;25;0;0.12
1026;3;0;0.12
1027;3;0;0.12
1028;21;0;0.12
1029;21;0;0.17
1030;3;0;0.17
1031;21;0.06;2.31
1032;21;0.01;0.41
1033;12;0.01;0.52
1034;21;0;0.23
1035;21;0;0.17
1036;3;0;0.17
1037;21;0;0.12
1038;21;0;0.17
1039;12;0;0.12
1040;3;0;0.17
1041;3;0;0.12
1042;21;0.02;1.09
1043;21;0.04;1.44
1044;15;0.28;5.1
1045;21;0.03;1.04
1046;15;0.22;4.03
1047;33;0.01;0.46
1048;3;0.02;0.69
1049;21;0.02;0.86
1050;3;0;0.17
1051;21;0.09;3.75
1052;3;0;0.17
1053;21;0;0.17
1054;21;0;0.12
1055;21;0;0.23
1056;3;0;0.12
1057;3;0;0.12
1058;3;0.03;1.21
1059;21;0.02;0.98
1060;15;0.02;0.75
1061;21;0;0.17
1062;21;0;0.12
1063;33;0.01;0.46
1064;15;0;0.17
1065;3;0;0.12
1066;15;0.12;1.96
1067;24;0.31;8.4
1068;3;0.01;0.69
1069;12;0.01;0.52
1070;21;0;0.17
1071;12;0;0.29
1072;21;0.01;0.63
1073;21;0;0.17
1074;21;0;0.12
1075;21;0;0.12
1076;33;0;0.12
1077;3;0;0.12
1078;3;0.01;0.76
1079;3;0.02;0.8
1080;33;0.03;1.79
1081;21;0.01;0.63
1082;21;0;0.29
1083;21;0;0.12
1084;21;0;0.12
1085;12;0;0.12
1086;3;0.11;2.25
1087;21;0.03;1.33
1088;21;0.01;0.58
1089;15;0.02;0.8
1090;21;0.03;0.92
1091;21;0;0.23
1092;12;0;0.23
1093;3;0;0.17
1094;21;0;0.17
1095;21;0.01;0.64
1096;21;0;0.12
