Length;Heigth
20792.88346;619.373291
20833.95049;619.373291
20862.98926;619.373291
20892.02803;620.4212036
20933.09505;616.2288208
20962.13383;616.2288208
20991.1726;627.0887451
21020.21137;628.2398682
21061.27839;633.6239014
21090.31716;625.9509277
21119.35594;625.9509277
21148.39471;623.5800171
21177.43348;622.2807007
21206.47225;622.2807007
21247.53928;622.2807007
21276.57805;622.2807007
21317.64507;622.2807007
21346.68384;622.2807007
21375.72262;622.2807007
21404.76139;622.2807007
21433.80016;622.2807007
21474.86718;622.2807007
21503.90595;622.2807007
21532.94473;622.2807007
21561.9835;627.0263062
21591.02227;626.8045044
21620.06104;622.2807007
21649.09981;622.2807007
21678.13858;622.2807007
21707.17736;617.3615723
21736.21613;617.3615723
21765.2549;617.3615723
21794.29367;617.6260376
21823.33244;626.6804199
21852.37121;626.6804199
21881.40999;626.6804199
21922.47701;626.6804199
21963.54403;627.2197266
22004.61106;626.6804199
22045.67808;626.6804199
22074.71686;626.6804199
22115.78388;626.6804199
22156.85091;626.6804199
22185.88968;626.6804199
22226.9567;626.6804199
22255.99547;626.9217529
22285.03424;626.9217529
22314.07302;626.9217529
22343.11179;626.9217529
22372.15056;626.9217529
22401.18933;626.9217529
22442.25636;632.8804932
22471.29513;627.2284546
22500.3339;627.1242676
22529.37267;627.1242676
22570.4397;631.0977783
22599.47847;631.0977783
22628.51724;631.0977783
22669.58426;635.9541626
22698.62303;635.9541626
22739.69006;635.9541626
22768.72883;635.9541626
22809.79586;635.9541626
22850.86288;635.9541626
22891.92991;628.7155151
22932.99693;630.5148926
22974.06395;634.263916
23003.10273;633.8753052
23032.1415;633.3807983
23061.18027;632.5097656
23090.21904;636.1170654
23119.25781;637.4501953
23148.29658;639.0046387
23189.36361;644.7163696
23218.40238;646.9310913
23247.44115;646.9310913
23288.50818;646.9310913
23317.54695;646.9310913
23346.58572;646.9310913
23375.62449;646.9310913
23404.66326;646.9310913
23445.73029;646.9310913
23486.79731;646.9310913
23515.83608;646.9310913
23544.87486;646.9310913
23585.94188;645.9234009
23614.98065;647.397644
23644.01942;649.7028809
23685.08645;648.9962158
23714.12522;646.3756104
23743.16399;646.3756104
23784.23102;646.5892334
23813.26979;646.3756104
23854.33681;646.3756104
23895.40384;646.3756104
23924.44261;646.3756104
23953.48138;646.3756104
23982.52015;643.9692383
24011.55892;643.9692383
24040.59769;644.2268677
24069.63647;644.2594604
24098.67524;646.4880371
24127.71401;647.312561
24156.75278;647.312561
24185.79155;647.312561
24226.85858;653.161499
24255.89735;653.161499
24296.96437;655.1153564
24326.00315;655.1153564
24367.07017;655.1153564
24408.13719;658.0822144
24449.20422;659.5458374
24490.27124;659.5458374
24531.33827;659.5458374
24560.37704;659.5458374
24589.41581;663.8526611
24630.48284;666.8936157
24671.54986;662.4320679
24700.58863;662.4320679
24741.65566;665.6691895
24770.69443;662.4320679
24799.7332;666.0493774
24828.77197;662.975769
24857.81074;660.0682373
24886.84952;662.5861206
24927.91654;665.7451782
24956.95531;665.7451782
24998.02234;665.7451782
25027.06111;665.7451782
25068.12813;665.7451782
25109.19516;665.7451782
25138.23393;665.7451782
25167.2727;665.7451782
25196.31147;665.7451782
25225.35024;665.7451782
25266.41727;665.7451782
25307.48429;665.7451782
25348.55132;665.7451782
25377.59009;665.7451782
25406.62886;667.289978
25447.69589;667.454834
25476.73466;670.5844116
25517.80168;670.5844116
25558.86871;670.5844116
25599.93573;673.5064697
25628.9745;673.5064697
25658.01327;675.7174072
25699.0803;675.7174072
25740.14732;675.7610474
25781.21435;678.8114624
25810.25312;678.8114624
25851.32014;680.8540039
25880.35892;680.8540039
25909.39769;681.4067993
25938.43646;683.1728516
25979.50348;683.3134766
26020.57051;689.7838135
26049.60928;689.7838135
26090.6763;689.7838135
26119.71508;689.7838135
26160.7821;693.3152466
26189.82087;693.3152466
26218.85964;693.3152466
26247.89842;694.2861328
26288.96544;697.3166504
26330.03247;697.3166504
26359.07124;697.3166504
26388.11001;697.4920654
26417.14878;695.6402588
26458.2158;697.2771606
26487.25458;695.6402588
26528.3216;695.6402588
26569.38863;695.6402588
26610.45565;695.6402588
26651.52267;695.6402588
26680.56145;694.8444824
26709.60022;694.8444824
26750.66724;694.8444824
26791.73427;694.8444824
26820.77304;694.8444824
26849.81181;698.2444458
26878.85058;703.210144
26907.88935;696.6065674
26936.92813;694.3318481
26977.99515;699.269104
27007.03392;696.1203003
27036.07269;694.3436279
27065.11146;694.3318481
27106.17849;694.9924316
27147.24551;700.4667358
27176.28429;700.4667358
27205.32306;700.4667358
27246.39008;700.4667358
27275.42885;700.4667358
27304.46763;700.4667358
27345.53465;700.4667358
27386.60167;700.4667358
27415.64045;700.4667358
27444.67922;700.4667358
27473.71799;700.4667358
27502.75676;697.295105
27531.79553;694.1606445
27572.86256;691.9719849
27601.90133;694.1279297
27630.9401;697.2432251
27672.00712;695.1974487
27713.07415;693.2982178
27742.11292;693.6061401
27771.15169;694.9259644
27800.19046;694.0697021
27841.25749;691.6901245
27882.32451;691.1856079
27911.36329;692.0006714
27952.43031;692.5647583
27981.46908;692.5647583
28010.50785;692.5444946
28051.57488;693.6382446
28092.6419;694.2959595
28121.68067;694.2459717
28150.71945;693.8012695
28179.75822;693.1555786
28220.82524;695.4119873
28261.89227;699.5976563
28290.93104;695.2600708
28319.96981;694.364563
28349.00858;694.364563
28378.04735;694.5917969
28419.11438;697.5227661
28460.1814;701.4297485
28489.22017;693.3252563
28518.25895;692.0593262
28559.32597;695.1921387
28588.36474;692.0593262
28617.40351;692.0593262
28646.44228;692.0593262
28675.48106;692.0593262
28704.51983;692.4071655
28745.58685;694.4457397
28774.62562;693.5153198
28803.6644;693.7979736
28844.73142;700.0356445
28873.77019;698.5482788
28902.80896;693.9471436
28943.87599;693.9471436
28972.91476;694.3862305
29001.95353;697.1243286
29043.02056;697.461853
29084.08758;698.0288696
29125.15461;694.5582275
29154.19338;693.1726685
29183.23215;693.8265991
29212.27092;695.5227051
29253.33795;693.0974731
29294.40497;692.7807007
29335.47199;692.1774292
29364.51077;692.1774292
29393.54954;692.1774292
29434.61656;692.1774292
29463.65533;689.7528076
29492.69411;689.5189819
29533.76113;692.791748
29562.7999;693.3580322
29591.83867;693.3580322
29632.9057;695.9338989
29673.97272;700.3118896
29703.01149;695.7626953
29732.05027;695.583313
29773.11729;696.8800049
29802.15606;700.885437
29831.19483;699.8734741
29860.23361;699.8734741
29889.27238;699.8734741
29918.31115;699.8734741
29947.34992;699.8734741
29988.41694;701.3717041
30017.45572;697.6931152
30058.52274;697.6931152
30087.56151;697.6931152
30116.60028;697.6931152
30157.66731;697.6931152
30198.73433;696.706604
30227.77311;699.654541
30256.81188;699.5056763
30297.8789;696.706604
30326.91767;696.706604
30355.95644;696.706604
30384.99522;696.706604
30414.03399;696.706604
30443.07276;696.1575928
30484.13978;696.1575928
30513.17856;696.6220093
30542.21733;698.125
30571.2561;698.125
30612.32312;696.9387817
30641.36189;696.0950928
